2016/03/12 12:27:42	T	xlive 	884:2172 	[OUT 0'0"562]     CLibXLiveImpl::setAppSettingPath 	FL:LibXLiveImpl.cpp(212)
2016/03/12 12:27:42	T	xlive 	884:2172 	[IN]              CLibXLiveImpl::setTemporaryFolder 	FL:LibXLiveImpl.cpp(218)
2016/03/12 12:27:42	T	xlive 	884:2172 	[OUT 0'0"0]       CLibXLiveImpl::setTemporaryFolder 	FL:LibXLiveImpl.cpp(218)
2016/03/12 12:27:42	T	xlive 	884:2172 	[IN]              CLibXLiveImpl::setSyncThreadCount 	FL:LibXLiveImpl.cpp(236)
2016/03/12 12:27:42	T	xlive 	884:2172 	[IN]              CSyncManager::setSyncThreadCount 	FL:SyncManager.cpp(669)
2016/03/12 12:27:42	T	xlive 	884:2172 	[OUT 0'0"0]       CSyncManager::setSyncThreadCount 	FL:SyncManager.cpp(669)
2016/03/12 12:27:42	T	xlive 	884:2172 	[OUT 0'0"0]       CLibXLiveImpl::setSyncThreadCount 	FL:LibXLiveImpl.cpp(236)
2016/03/12 12:27:42	T	xlive 	884:2172 	[IN]              CLibXLiveImpl::setEnableLANSync 	FL:LibXLiveImpl.cpp(230)
2016/03/12 12:27:42	T	xlive 	884:2172 	[OUT 0'0"0]       CLibXLiveImpl::setEnableLANSync 	FL:LibXLiveImpl.cpp(230)
2016/03/12 12:27:42	T	xlive 	884:2172 	[IN]              CLibXLiveImpl::setUsingHTTPS 	FL:LibXLiveImpl.cpp(255)
2016/03/12 12:27:42	T	xlive 	884:2172 	[OUT 0'0"0]       CLibXLiveImpl::setUsingHTTPS 	FL:LibXLiveImpl.cpp(255)
2016/03/12 12:27:42	T	xlive 	884:2172 	[IN]              CLibXLiveImpl::setLargeFileLimit 	FL:LibXLiveImpl.cpp(280)
2016/03/12 12:27:42	T	xlive 	884:2172 	[OUT 0'0"0]       CLibXLiveImpl::setLargeFileLimit 	FL:LibXLiveImpl.cpp(280)
2016/03/12 12:27:42	T	xlive 	884:2172 	[IN]              CLibXLiveImpl::setExcludeFolderPath 	FL:LibXLiveImpl.cpp(273)
2016/03/12 12:27:42	T	xlive 	884:2172 	[IN]              CSyncManager::delFolderItemsByPath 	FL:SyncManager.cpp(201)
2016/03/12 12:27:42	T	xlive 	884:2172 	[IN]              CDBFS::init 	FL:DBFS.cpp(21)
2016/03/12 12:27:42	T	xlive 	884:2172 	[IN]              CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
2016/03/12 12:27:42	T	xlive 	884:2172 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/12 12:27:42	T	xlive 	884:2172 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/12 12:27:42	T	xlive 	884:2172 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/12 12:27:42	T	xlive 	884:2172 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/12 12:27:42	T	xlive 	884:2172 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/12 12:27:42	T	xlive 	884:2172 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/12 12:27:42	T	xlive 	884:2172 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/12 12:27:42	T	xlive 	884:2172 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/12 12:27:42	T	xlive 	884:2172 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/12 12:27:42	T	xlive 	884:2172 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/12 12:27:42	T	xlive 	884:2172 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/12 12:27:42	T	xlive 	884:2172 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/12 12:27:42	T	xlive 	884:2172 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/12 12:27:42	T	xlive 	884:2172 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
